dimension_type,dimension_value,total_sessions,view_item_sessions,add_to_cart_sessions,checkout_sessions,purchase_sessions,view_to_cart_rate,cart_to_checkout_rate,checkout_to_purchase_rate,overall_conversion_rate
device,desktop,208942,44819,8776,3109,1601,0.19580981280260604,0.3542616226071103,0.51495657767770986,0.035721457417613067
device,mobile,143185,30501,6070,2194,1172,0.19900986852890068,0.36144975288303133,0.53418413855970825,0.038424969673125468
device,tablet,8002,1700,321,113,61,0.1888235294117647,0.35202492211838005,0.53982300884955747,0.035882352941176469
overall,all,360129,77020,15167,5416,2834,0.19692287717475981,0.35709105294389132,0.52326440177252587,0.036795637496754088
session_user_type,new_user,257314,50940,8674,2611,1091,0.17027875932469572,0.30101452617016372,0.41784756798161626,0.021417353749509226
session_user_type,non_new_user,102815,26080,6493,2805,1743,0.24896472392638036,0.43200369628831048,0.62139037433155075,0.066832822085889573
