device_category,new_users,d1_retention_rate,d7_retention_rate,d30_retention_rate
desktop,149468,0.042118043844856658,0.0066077547339945895,0.0013922096788838111
mobile,102060,0.042683107567359282,0.0069396032701692124,0.00123015814201657
tablet,5786,0.04347067039106145,0.0056074766355140183,0.0013092432573972245
